,Mn/Fe,Mn/Sr,Sr/Ca
SJ-1_210,0.090590527,0.448038988,0.001005952
SJ-1_211,0.087244927,0.488674307,0.000880723
SJ-1_212,0.089825204,0.529768553,0.000681488
SJ-1_213,0.088197549,0.413099493,0.001035855
SJ-1_214,0.096091588,0.373314255,0.001416524
SJ-1_215,0.105613281,0.450198076,0.001442827
SJ-1_216,0.119003421,0.467061241,0.001588309
SJ-1_217,0.132393561,0.483924405,0.001733792
SJ-1_218,0.118243393,0.480917898,0.001298645
SJ-1_219,0.116548054,0.487560013,0.000913467
SJ-1_220,0.129002884,0.497208636,0.000963435
SJ-1_221,0.153566808,0.479041955,0.00103627
SJ-1_222,0.147834532,0.515002462,0.001202583
SJ-1_223,0.117538331,0.569129651,0.001296062
SJ-1_224,0.137493288,0.504337908,0.00119945
SJ-1_225,0.157448244,0.439546165,0.001102838
SJ-1_226,0.139752793,0.496087609,0.001142843
SJ-1_227,0.123631466,0.574680542,0.001055732
SJ-1_228,0.12520559,0.596732031,0.000928615
SJ-1_229,0.100919509,0.490166145,0.001223051
SJ-1_230,0.081728326,0.44691738,0.001483881
SJ-1_231,0.07627562,0.501211349,0.001369307
SJ-1_232,0.098034604,0.534867164,0.00155928
SJ-1_233,0.106670158,0.453650853,0.001500335
SJ-1_234,0.10290568,0.517309167,0.001307391
SJ-1_235,0.121538886,0.550702973,0.0010409
SJ-1_236,0.119365127,0.477084595,0.000788606
SJ-1_237,0.135172995,0.386719722,0.000871719
SJ-1_238,0.181496956,0.392459457,0.000991918
SJ-1_239,0.140147008,0.357347947,0.000756201
SJ-1_240,0.082124888,0.352782854,0.001282091
SJ-1_241,0.107147339,0.399231134,0.000920493
SJ-1_242,0.131480707,0.410699295,0.001117214
SJ-1_243,0.077096703,0.47715163,0.000932767
SJ-1_244,0.11108249,0.301463071,0.000973695
SJ-1_245,0.169833966,0.342210586,0.001027317
SJ-1_246,0.243918002,0.286811209,0.00155613
SJ-1_247,0.267030168,0.38720076,0.001665273
SJ-1_248,0.142186562,0.181876546,0.00164634
SJ-1_249,0.104643536,0.169359175,0.002054915
SJ-1_250,0.118812387,0.146252424,0.002509405
SJ-1_251,0.125589885,0.108434095,0.001892244
SJ-1_252,0.130130197,0.137566312,0.001843914
SJ-1_253,0.103889554,0.113670057,0.00151131
SJ-1_254,0.163323664,0.125999765,0.002355898
SJ-1_255,0.115976904,0.097934813,0.002283255
SJ-1_256,0.091233502,0.091352991,0.002500053
SJ-1_257,0.151205701,0.179780041,0.002310871
SJ-1_258,0.143293926,0.156757593,0.001842815
SJ-1_259,0.157437623,0.215170339,0.001435373
SJ-1_260,0.128117395,0.206975753,0.001385457
SJ-1_261,0.094082073,0.179940542,0.001328996
SJ-1_262,0.095137665,0.158924408,0.001393827
SJ-1_263,0.07858695,0.112921768,0.003556866
SJ-1_264,0.096805229,0.115152059,0.003627564
SJ-1_265,0.105571092,0.182568737,0.002565769
SJ-1_266,0.145205274,0.27531666,0.002310904
SJ-1_267,0.130565547,0.214169057,0.003719638
SJ-1_268,0.1301221,0.181848653,0.002594058
SJ-1_269,0.109147328,0.129539409,0.001694744
SJ-1_270,0.088616005,0.109550568,0.001921009
SJ-1_271,0.108873351,0.143833183,0.002091146
SJ-1_272,0.129130697,0.178115798,0.002261283
SJ-1_273,0.144219275,0.170012881,0.001951682
SJ-1_274,0.119713771,0.152560755,0.001807323
SJ-1_275,0.08011969,0.143211546,0.001972564
SJ-1_276,0.132557044,0.242521895,0.001460897
SJ-1_277,0.145343835,0.256998763,0.001065779
SJ-1_278,0.105693273,0.172165283,0.001182328
SJ-1_279,0.096846156,0.179446989,0.00106994
SJ-1_280,0.086651143,0.192893642,0.001230893
SJ-1_281,0.091109229,0.217455951,0.001069247
SJ-1_282,0.104877957,0.311563515,0.001096095
SJ-1_283,0.136075097,0.370949958,0.000872076
SJ-1_284,0.143643405,0.267463637,0.001246213
SJ-1_285,0.124457991,0.170200311,0.001268169
SJ-1_286,0.092327496,0.14186807,0.001481459
SJ-1_287,0.143865141,0.179254464,0.00135279
SJ-1_288,0.136771147,0.145937175,0.002718092
SJ-1_289,0.178079367,0.222976726,0.001685166
SJ-1_290,0.142674575,0.159039205,0.001696804
SJ-1_291,0.162174213,0.196238999,0.001270517
SJ-1_292,0.132590718,0.152227271,0.001392918
SJ-1_293,0.096110189,0.275536375,0.001553087
SJ-1_294,0.063019004,0.402393401,0.002857047
SJ-1_295,0.064719086,0.438007064,0.000975481
SJ-1_296,0.139243628,0.283889231,0.00108863
SJ-1_297,0.109298094,0.240053858,0.001300786
SJ-1_298,0.111873788,0.211798571,0.001300955
SJ-1_299,0.0963944,0.214751422,0.001160215
SJ-1_300,0.11064132,0.212628205,0.001588682
SJ-1_301,0.118537532,0.319647409,0.001130705
SJ-1_302,0.127593974,0.33697849,0.001029414
SJ-1_303,0.127480688,0.284311956,0.001142725
SJ-1_304,0.126925237,0.234240321,0.001092265
SJ-1_305,0.084816865,0.165052302,0.001217578
SJ-1_306,0.097700699,0.22196026,0.001568621
SJ-1_307,0.159572455,0.418254302,0.001423435
SJ-1_308,0.159865879,0.265414105,0.001555486
SJ-1_309,0.133558139,0.170239845,0.001527318
SJ-1_310,0.162092981,0.210059109,0.001908359
SJ-1_311,0.148842134,0.20079641,0.001708924
SJ-1_312,0.142352418,0.159534733,0.001929934
SJ-1_313,0.124799086,0.152411903,0.001819753
SJ-1_314,0.101204629,0.142727763,0.001402808
SJ-1_315,0.100862673,0.152481576,0.001156627
SJ-1_316,0.122392925,0.193745607,0.001286982
SJ-1_317,0.15444826,0.310482115,0.000940454
SJ-1_318,0.15654627,0.370360546,0.001117198
SJ-1_319,0.133082503,0.316285925,0.001244223
SJ-1_320,0.125748377,0.348760361,0.001029107
SJ-1_321,0.125195165,0.367602596,0.001310135
SJ-1_322,0.138662483,0.419137537,0.001165275
SJ-1_323,0.129329102,0.372912648,0.001149931
SJ-1_324,0.119995721,0.32668776,0.001134587
SJ-1_325,0.136218792,0.407466043,0.001167195
SJ-1_326,0.19446264,0.590467207,0.00075459
SJ-1_327,0.150221711,0.43623694,0.001185992
SJ-1_328,0.213679922,0.526705581,0.000758701
SJ-1_329,0.183001215,0.442369082,0.001167595
SJ-1_330,0.154949076,0.468094739,0.000973756
SJ-1_331,0.144230344,0.449819945,0.000962643
SJ-1_332,0.133511612,0.43154515,0.00095153
SJ-1_333,0.128593279,0.427485897,0.000951256
SJ-1_334,0.137170843,0.513790897,0.001202568
SJ-1_335,0.100583998,0.408656715,0.001034845
SJ-1_336,0.146132082,0.580194356,0.001094576
SJ-1_337,0.131321676,0.438622838,0.00065492
SJ-1_338,0.109071273,0.377666127,0.000833644
SJ-1_339,0.171043005,0.470693232,0.000874554
SJ-1_340,0.200234838,0.522647329,0.000939485
SJ-1_341,0.107773932,0.399420911,0.000976806
SJ-1_342,0.100847123,0.364170609,0.000874818
SJ-1_343,0.158994232,0.387432749,0.00081736
SJ-1_344,0.107308449,0.415810084,0.000712362
SJ-1_345,0.105890647,0.37148261,0.000774314
SJ-1_346,0.094164755,0.358636532,0.000766601
SJ-1_347,0.099757334,0.338689965,0.001088889
SJ-1_348,0.0854437,0.275956628,0.001336741
SJ-1_349,0.074680423,0.292318204,0.001123923
SJ-1_350,0.075348146,0.371621847,0.00085401
SJ-1_351,0.105283597,0.348504335,0.001255631
SJ-1_352,0.098356763,0.351506999,0.001020898
SJ-1_353,0.126962519,0.322668814,0.001126244
SJ-1_354,0.137396032,0.390367917,0.000949508
SJ-1_355,0.077024335,0.345072353,0.00081957
SJ-1_356,0.077785102,0.286264411,0.001333736
SJ-1_357,0.112569387,0.325149657,0.001189948
SJ-1_358,0.148841904,0.353415496,0.001017722
SJ-1_359,0.150330136,0.342796087,0.000989283
SJ-1_360,0.113625401,0.269029697,0.001071177
SJ-1_361,0.129535328,0.371688558,0.001071521
SJ-1_362,0.115173904,0.322424231,0.001086995
SJ-1_363,0.173179895,0.306192215,0.001171091
SJ-1_364,0.190314245,0.306675863,0.001121635
SJ-1_365,0.193473199,0.408404032,0.00112897
SJ-1_366,0.117406392,0.352109991,0.000936349
SJ-1_367,0.10266181,0.319379683,0.000854978
SJ-1_368,0.151234152,0.416408,0.000777731
SJ-1_369,0.133626957,0.399560402,0.001172929
SJ-1_370,0.16965428,0.40123461,0.001033276
SJ-1_371,0.149534042,0.345934072,0.001020604
SJ-1_372,0.126120117,0.302008951,0.001462039
SJ-1_373,0.151411341,0.328261343,0.000969078
SJ-1_374,0.222588708,0.509176014,0.001417256
SJ-1_375,0.181629632,0.372640983,0.001028158
SJ-1_376,0.160145206,0.292307955,0.001036623
